OLT,F,S,P,Código QR,Cuenta,Latitud,Longitud,Capacidad,Ubicacion
ALDAMA_2_JUA,3,1,4,TP250807,0112507361,31.777787,-106.573234,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP250807,0110612433,31.777787,-106.573234,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP250807,0120258495,31.777787,-106.573234,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP250807,0126006220,31.777787,-106.573234,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP250807,0142589424,31.777787,-106.573234,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP254328,0107546933,31.776163,-106.569047,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP254328,0141296049,31.776163,-106.569047,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP254328,0117971697,31.776163,-106.569047,1:16,Poste
ALDAMA_2_JUA,3,1,4,TP254329,0110978525,31.774595,-106.570181,1:8,Poste
ALDAMA_2_JUA,3,1,4,TP254329,0142988901,31.774595,-106.570181,1:8,Poste
ALDAMA_2_JUA,3,1,4,TP254329,0143340593,31.774595,-106.570181,1:8,Poste
